Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,BAC,CAT,CVX,GOOGL,JNJ,JPM,MMM,MSFT,PFE,PG,WFC,WMT,XOM,AAPL,AMZN,BAC,CAT,CVX,GOOGL,JNJ,JPM,MMM,MSFT,PFE,PG,WFC,WMT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.418384552001953,6.695000171661377,12.169185638427734,39.29059600830078,41.66911697387695,15.566815376281738,40.418434143066406,28.552135467529297,42.9725456237793,23.13005256652832,9.35495376586914,38.41703414916992,18.026004791259766,12.960370063781738,37.881813049316406,493729600,151998000,180845200,7325600,10173800,78169752,9506200,35460500,3640265,38409100,54898644,9190800,39335700,62259300,27809100
2010-01-05,6.429479122161865,6.734499931335449,12.564741134643555,39.76031494140625,41.96428298950195,15.498263359069824,39.94977569580078,29.105199813842773,42.70338821411133,23.13752555847168,9.221527099609375,38.429595947265625,18.52086067199707,12.831317901611328,38.02970886230469,601904800,177038000,209521300,5697200,10593700,120067812,10673100,41208300,3405012,49749600,45714931,8649400,55416000,46945200,30174700
2010-01-06,6.327210903167725,6.612500190734863,12.712108612060547,39.88112258911133,41.96952819824219,15.107572555541992,40.274723052978516,29.26511573791504,43.308998107910156,22.99553680419922,9.191875457763672,38.24732971191406,18.547252655029297,12.802639961242676,38.35839080810547,552160000,143576000,205257900,4718800,11014600,158988852,13171500,27729000,6301126,58182400,43640975,9908400,33237000,37551600,35044700
2010-01-07,6.315515041351318,6.5,13.130935668945312,40.04216003417969,41.81142807006836,14.755875587463379,39.98725891113281,29.844816207885742,43.340057373046875,22.756391525268555,9.157279014587402,38.039894104003906,19.220256805419922,12.809808731079102,38.23788070678711,477131200,220604000,320868400,5432900,9626900,256315428,10901600,44864700,5346240,50559700,41557112,8972800,61649000,31988100,27192100
2010-01-08,6.357501029968262,6.676000118255615,13.014595985412598,40.491783142089844,41.88521957397461,14.952587127685547,40.12474060058594,29.77153205871582,43.645442962646484,22.913314819335938,9.231407165527344,37.98960494995117,19.042097091674805,12.74527645111084,38.08448791503906,447610800,196610000,220104700,6651300,5624300,188783028,7898000,33110100,4073337,51197400,32049716,8464600,35508700,34089600,24891800
2010-01-11,6.301420211791992,6.515500068664551,13.130935668945312,43.035091400146484,42.62838363647461,14.929986953735352,40.13098907470703,29.671566009521484,43.4694709777832,22.621868133544922,9.305536270141602,37.83876037597656,19.002519607543945,12.95559024810791,38.51178741455078,462229600,175588000,168991600,21958800,11916800,288227484,7975700,31878700,3500812,68754700,34199665,14774600,24387800,41963100,30685000
2010-01-12,6.229739665985107,6.367499828338623,12.688838958740234,41.76679229736328,42.38063430786133,14.665966033935547,40.34345245361328,28.97858238220215,43.505699157714844,22.472393035888672,9.275886535644531,38.2724723815918,18.527448654174805,13.07985782623291,38.32005310058594,594459600,181926000,223486800,13561900,12175200,193937868,10820700,47109600,3626033,65912100,43501847,13460700,39795000,45351000,31496700
2010-01-13,6.317613124847412,6.45550012588501,12.890498161315918,41.82719421386719,42.05915069580078,14.581767082214355,40.59967041015625,29.48499870300293,43.36592483520508,22.68165397644043,9.493327140808105,38.6684455871582,18.857358932495117,13.14677906036377,38.16666793823242,605892000,214464000,192609900,8398700,10842200,259604136,13023800,39622000,3709992,51863500,62728072,16968100,36715300,39872100,24884400
2010-01-14,6.281022548675537,6.367499828338623,13.045618057250977,41.592308044433594,41.927371978759766,14.650317192077637,40.6808967590332,29.77818489074707,43.221004486083984,23.13752555847168,9.577337265014648,38.70616912841797,19.127880096435547,12.95559024810791,38.172149658203125,432894000,195498000,142634200,6224100,6721000,169434396,7899000,37938300,3150384,63228100,49820367,9139500,31540700,41316000,18630800
2010-01-15,6.176055431365967,6.35699987411499,12.611279487609863,40.61941146850586,41.75871658325195,14.405669212341309,40.34345245361328,29.105199813842773,43.153709411621094,23.062789916992188,9.631696701049805,38.22847366333008,18.527448654174805,12.828926086425781,37.85988998413086,594067600,307530000,195117100,9397000,13482300,217162620,20995000,69738500,4730180,79913200,80760537,15768300,47255900,57262500,29411900
2010-01-19,6.449275016784668,6.380499839782715,12.657814979553223,41.16666030883789,41.995887756347656,14.594928741455078,40.83713150024414,28.83865737915039,44.059539794921875,23.242156982421875,9.883733749389648,38.794158935546875,18.659420013427734,12.912569999694824,37.94753646850586,730007600,177852000,181616500,8056500,8722200,172495332,15181800,41731500,5382478,46575700,82562244,11577700,40815800,43855500,26081900
2010-01-20,6.350003242492676,6.289000034332275,12.789669036865234,40.37617492675781,41.189510345458984,14.415851593017578,40.71214294433594,28.918624877929688,43.85248565673828,22.861013412475586,9.854085922241211,38.26871109008789,18.35590934753418,12.871942520141602,37.26823425292969,612152800,181494000,288741100,6953500,8703800,129897972,13033000,39934400,4390755,54849500,83522965,11557800,75712300,39925800,34629500
2010-01-21,6.240235805511475,6.330999851226807,11.998555183410645,38.410064697265625,40.18281555175781,14.47968578338623,39.97477722167969,27.01291847229004,42.80691146850586,22.42756462097168,9.50815486907959,37.88253402709961,18.474674224853516,12.647293090820312,36.539642333984375,608154400,199412000,551285500,13874900,12573200,252055692,14473900,137547700,5720707,73086700,81343188,14298400,90151500,48086100,39114000
2010-01-22,5.930728912353516,6.071499824523926,11.556461334228516,36.65339660644531,39.31318664550781,13.660797119140625,39.493595123291016,26.09339714050293,42.175411224365234,21.642860412597656,9.369782447814941,38.18008804321289,17.986404418945312,12.65207290649414,36.21094512939453,881767600,231378000,369620800,14757600,13825000,271743984,14017200,106634900,5751564,102004600,65034962,17703200,69506900,58247700,39085500
2010-01-25,6.0902814865112305,6.015500068664551,11.618510246276855,37.254722595214844,39.29210662841797,13.412175178527832,39.5060920715332,26.126707077026367,42.35657501220703,21.911895751953125,9.315420150756836,38.382667541503906,18.250335693359375,12.637734413146973,36.0739631652832,1065699600,240478000,262351600,9777300,9129700,176619204,10001700,56572200,4050374,63373000,51933110,11630800,48319700,36009900,29305100
2010-01-26,6.176356792449951,5.973999977111816,11.455629348754883,37.73442459106445,39.08127212524414,13.472280502319336,39.23740005493164,25.61363983154297,42.253055572509766,22.046415328979492,9.2808256149292,38.42064666748047,17.80826759338379,12.812195777893066,36.112335205078125,1867110000,191180000,212380600,15218300,10558200,174045780,15630300,52975300,3753048,66639900,45955032,13079000,66590800,46752000,34083300
2010-01-27,6.234537601470947,6.137499809265137,11.781388282775879,36.10613250732422,38.84410858154297,13.464332580566406,39.6435661315918,26.206666946411133,42.599857330322266,22.173465728759766,9.389547348022461,38.49662780761719,18.606632232666016,12.76201343536377,35.90416717529297,1722568400,295306000,258716200,34041000,13373200,158417424,14982400,66314300,6060012,63949500,57558308,15228400,63074200,39576300,35723500
2010-01-28,5.9769134521484375,6.301499843597412,11.920992851257324,35.038612365722656,38.60165023803711,13.270354270935059,39.86853790283203,26.306617736816406,41.79756546020508,21.79232406616211,9.206698417663574,39.04737091064453,18.771595001220703,12.573204040527344,35.586429595947266,1173502400,545862000,232729500,15623100,12828800,129034836,17096000,65047400,8157557,117513700,53690549,26930000,62109300,50880300,37349800
2010-01-29,5.760079860687256,6.270500183105469,11.77363109588623,35.29536056518555,38.011348724365234,13.162310600280762,39.281124114990234,25.946794509887695,41.662960052490234,21.059926986694336,9.221527099609375,38.965084075927734,18.758380889892578,12.76917552947998,35.296085357666016,1245952400,589426000,175135300,13962000,15265600,165454380,17844400,53649000,5199012,193888500,59071114,17067100,88783700,72842400,40880500
2010-02-01,5.840155124664307,5.94350004196167,11.959773063659668,35.768306732177734,38.78084182739258,13.238810539245605,39.42485809326172,26.406566619873047,41.63710403442383,21.231822967529297,9.28576946258545,39.243648529052734,19.08829689025879,12.781126022338867,36.254764556884766,749876400,755488000,159503300,7159100,11828500,89941968,10153400,37408200,4344709,85931100,41586308,12908100,45240000,33058500,37703000
2010-02-02,5.874045372009277,5.906000137329102,12.099384307861328,36.180450439453125,39.239376068115234,13.191619873046875,39.98725891113281,27.01959228515625,41.63191604614258,21.269180297851562,9.50815486907959,39.819725036621094,18.995920181274414,12.783516883850098,36.68206787109375,698342400,461594000,171404800,7665400,12947600,163684152,13609300,45968500,5609240,54413700,71262310,17680700,50306600,34163700,34057900
