,Stocks,Weights
0,"('AAPL', '0.001728561146504104')",0.05857871299207043
1,"('AMZN', '0.0058998892697967875')",0.049880970929661546
2,"('BAC', '0.03250468091856051')",0.048577048436610745
3,"('CAT', '0.01195499638148112')",0.056200598245619314
4,"('CVX', '0.007083567808985336')",0.06095168933112713
5,"('GOOGL', '-0.004403727773142574')",0.05972239091930776
6,"('JNJ', '-0.01159516584949205')",0.09770992756297267
7,"('JPM', '0.01937033210501693')",0.058790766403086246
8,"('MMM', '-0.006263473707711409')",0.07025886753785193
9,"('MSFT', '0.0003230858175469198')",0.06382859749607464
10,"('PFE', '-0.014262675113003942')",0.07493057670262948
11,"('PG', '0.0003269851089213738')",0.0955046678242708
12,"('WFC', '0.02745233269755043')",0.05457413684114908
13,"('WMT', '-0.0099574442346404')",0.08509391638360526
14,"('XOM', '0.0039041376608808243')",0.06539713239396311
