Stocks,Weights
AAPL,0.05857871299207043
AMZN,0.049880970929661546
BAC,0.048577048436610745
CAT,0.056200598245619314
CVX,0.06095168933112713
GOOGL,0.05972239091930776
JNJ,0.09770992756297267
JPM,0.058790766403086246
MMM,0.07025886753785193
MSFT,0.06382859749607464
PFE,0.07493057670262948
PG,0.0955046678242708
WFC,0.05457413684114908
WMT,0.08509391638360526
XOM,0.06539713239396311
